tenure,MonthlyCharges,Contract,TotalCharges
25,25.3,One year,676.35
68,54.45,One year,3674.95
2,69.8,Month-to-month,146.65
42,77.95,Month-to-month,3384.0
6,20.1,Two year,100.35
18,101.3,Month-to-month,1794.65
10,70.3,Month-to-month,738.2
72,103.65,Two year,7634.8
63,104.8,Two year,6597.25
27,78.2,One year,2078.95
35,25.4,Two year,949.8
18,90.1,Month-to-month,1612.75
11,73.5,Month-to-month,791.75
44,20.6,One year,926.0
19,60.6,Month-to-month,1297.8
72,93.25,Two year,6688.95
18,50.0,Month-to-month,892.7
18,49.85,Month-to-month,865.75
71,61.4,Two year,4310.35
30,55.3,Month-to-month,1530.6
28,60.0,One year,1682.05
37,78.95,Month-to-month,2839.65
18,19.8,One year,342.3
31,80.55,Two year,2471.6
5,56.15,Month-to-month,291.45
30,77.9,Month-to-month,2351.45
49,71.8,One year,3472.05
12,45.4,Month-to-month,518.9
1,78.05,Month-to-month,78.05
4,89.6,Month-to-month,365.65
3,20.55,Month-to-month,51.15
3,79.4,Month-to-month,244.65
37,65.6,Two year,2313.8
23,66.25,One year,1533.8
23,79.1,Month-to-month,1783.75
45,100.15,One year,4459.8
22,20.25,One year,488.25
24,99.65,Month-to-month,2404.85
48,19.85,Two year,916.0
3,56.15,Month-to-month,168.15
8,87.1,Month-to-month,713.6
44,53.95,One year,2375.4
56,90.55,Month-to-month,5116.6
1,20.6,Month-to-month,20.6
53,92.55,Month-to-month,4779.45
59,19.3,Two year,1192.7
15,48.85,Month-to-month,631.4
49,89.85,One year,4287.2
39,55.9,Month-to-month,2184.35
44,89.15,One year,3990.75
3,53.4,Month-to-month,188.7
16,74.3,Month-to-month,1178.25
5,65.6,Month-to-month,339.9
37,100.3,Month-to-month,3541.4
9,50.85,Month-to-month,466.6
35,19.85,Two year,739.35
7,86.25,Month-to-month,587.1
1,20.2,Month-to-month,20.2
29,25.1,Month-to-month,712.85
51,95.15,One year,5000.05
58,70.1,Two year,4048.95
72,108.5,One year,8003.8
4,38.55,Month-to-month,156.1
64,111.45,One year,7266.95
68,80.35,Month-to-month,5589.3
62,96.1,Month-to-month,6019.35
37,92.95,Month-to-month,3415.25
43,19.65,Two year,779.25
65,91.55,Two year,5963.95
1,61.15,Month-to-month,61.15
27,66.15,One year,1874.45
57,19.5,Two year,1167.6
1,20.55,Month-to-month,20.55
43,40.45,Month-to-month,1912.85
48,111.8,Two year,5443.65
41,111.15,Two year,4507.15
68,90.2,Two year,6297.65
15,48.85,Month-to-month,736.8
8,94.45,Month-to-month,742.95
3,25.3,Month-to-month,77.75
55,90.45,Month-to-month,5044.8
1,19.65,Month-to-month,19.65
16,71.8,Month-to-month,1167.8
39,80.0,One year,3182.95
10,94.85,Month-to-month,953.45
46,108.9,Two year,4854.3
12,56.3,Month-to-month,628.65
41,20.65,Two year,835.15
65,109.15,Month-to-month,6941.2
21,79.2,One year,1742.45
4,99.8,Month-to-month,442.85
72,89.85,Two year,6697.35
47,24.55,Two year,1160.45
43,84.25,One year,3539.25
72,113.1,Two year,8248.5
67,111.25,One year,7511.65
6,89.3,Month-to-month,577.6
60,70.15,One year,4224.7
40,98.15,One year,4116.8
66,90.95,Two year,5930.05
52,49.15,Month-to-month,2550.9
1,93.85,Month-to-month,93.85
58,93.4,Month-to-month,5435.6
72,63.8,Two year,4684.3
35,95.45,Month-to-month,3474.05
72,20.5,Two year,1502.25
51,69.15,Month-to-month,3649.6
69,19.3,Two year,1447.9
69,99.5,One year,6841.45
11,20.3,Month-to-month,246.3
1,24.2,Month-to-month,24.2
3,105.0,Month-to-month,294.45
37,99.2,One year,3754.6
4,25.2,Month-to-month,102.5
67,94.65,Month-to-month,6079.0
25,85.9,Month-to-month,2199.05
72,92.0,Two year,6632.75
8,51.3,Month-to-month,411.6
10,80.25,Month-to-month,846.0
6,20.15,Month-to-month,130.5
52,80.85,One year,4079.55
70,25.35,Two year,1715.15
70,92.2,Two year,6474.45
58,25.3,Two year,1474.35
70,77.3,Two year,5498.2
72,19.7,Two year,1379.8
66,49.4,One year,3251.85
16,35.5,Month-to-month,552.7
35,59.45,Month-to-month,2136.9
65,95.45,Month-to-month,6223.3
2,43.95,Month-to-month,85.1
30,48.8,Month-to-month,1536.75
14,89.95,Month-to-month,1178.4
7,20.25,Month-to-month,174.7
2,79.0,Month-to-month,143.65
66,85.25,Two year,5538.35
3,20.75,Month-to-month,67.1
1,19.75,Month-to-month,19.75
68,64.1,Two year,4326.25
10,86.45,Month-to-month,830.85
49,100.45,One year,4941.8
23,20.3,Month-to-month,470.6
13,96.85,Month-to-month,1235.55
65,19.85,Two year,1267.05
28,35.9,Month-to-month,973.65
2,89.5,Month-to-month,161.5
9,75.6,Month-to-month,661.55
54,109.55,Month-to-month,6118.95
25,61.6,One year,1611.0
19,20.5,Two year,398.55
71,85.45,One year,6028.95
36,20.35,One year,695.85
16,19.75,Month-to-month,294.9
25,24.75,Two year,692.1
59,81.25,One year,4639.45
71,23.9,Two year,1626.4
46,95.25,One year,4424.2
16,68.25,Two year,1114.85
49,95.6,Month-to-month,4783.5
24,84.8,One year,1990.5
2,42.6,Month-to-month,72.4
58,66.8,Month-to-month,3970.4
1,89.25,Month-to-month,89.25
45,86.1,Month-to-month,3861.45
1,50.5,Month-to-month,50.5
8,43.35,Month-to-month,371.4
22,90.0,Month-to-month,1993.8
66,115.8,One year,7942.15
8,74.5,Month-to-month,609.9
72,106.1,One year,7848.5
47,63.8,Two year,3007.25
4,72.2,Month-to-month,305.55
29,78.9,Month-to-month,2384.15
72,116.45,Two year,8013.55
16,84.95,Month-to-month,1378.25
2,79.95,Month-to-month,174.45
1,19.5,Month-to-month,19.5
68,70.95,Two year,4741.45
33,24.9,One year,847.8
61,19.4,Month-to-month,1182.55
23,79.15,Month-to-month,1676.95
19,48.95,One year,955.6
13,40.55,Two year,590.35
21,86.5,Month-to-month,1808.7
62,104.85,One year,6312.9
29,25.15,Month-to-month,702.0
70,105.35,Two year,7511.9
38,101.15,Month-to-month,3956.7
31,73.9,Month-to-month,2217.15
1,69.95,Month-to-month,69.95
1,43.95,Month-to-month,43.95
71,66.2,One year,4692.55
4,19.55,Two year,68.8
2,80.75,Month-to-month,159.45
4,64.4,Month-to-month,253.0
69,99.15,Two year,6875.35
64,81.25,One year,5567.55
60,79.0,One year,4801.1
1,69.95,Month-to-month,69.95
63,105.4,Month-to-month,6713.2
35,19.25,Two year,677.9
17,76.45,Month-to-month,1233.4
63,97.45,Two year,6253.0
19,66.4,Month-to-month,1286.05
21,111.2,Month-to-month,2317.1
57,95.3,Month-to-month,5567.45
8,49.55,Month-to-month,393.45
6,20.65,Month-to-month,109.3
66,61.35,Two year,4193.4
63,75.55,Two year,4707.85
28,92.2,One year,2568.15
23,75.0,Month-to-month,1778.5
29,19.85,Month-to-month,573.05
18,80.55,Month-to-month,1411.65
53,46.3,Month-to-month,2546.85
10,70.3,One year,676.15
39,49.8,Two year,1971.15
17,75.4,Month-to-month,1322.55
37,91.2,One year,3247.55
33,20.1,Two year,670.35
19,89.35,One year,1686.85
7,61.4,Month-to-month,438.9
9,72.9,Month-to-month,651.4
59,64.05,Two year,3886.85
55,103.7,One year,5656.75
4,94.4,Month-to-month,387.2
57,20.75,Two year,1123.15
68,114.9,Two year,7843.55
64,74.35,Two year,4759.55
72,103.2,One year,7362.9
8,84.0,Month-to-month,613.4
72,115.8,Two year,8332.15
1,45.8,Month-to-month,45.8
69,95.2,Two year,6671.7
56,80.3,Two year,4513.65
9,64.95,Month-to-month,547.8
1,69.9,Month-to-month,69.9
59,80.1,One year,4693.2
12,79.55,Month-to-month,958.25
4,84.8,Month-to-month,371.9
3,70.3,Month-to-month,235.5
1,50.75,Month-to-month,50.75
29,98.8,Month-to-month,2807.1
71,84.4,Two year,5969.3
23,57.75,One year,1282.85
6,26.35,Month-to-month,184.05
37,19.35,Month-to-month,683.75
24,74.4,One year,1712.9
49,100.85,Month-to-month,4847.35
11,96.2,Month-to-month,1222.05
44,100.1,Two year,4378.35
11,25.2,One year,245.15
43,29.3,Month-to-month,1224.05
1,50.55,Month-to-month,50.55
23,23.85,Two year,625.65
25,69.5,Month-to-month,1752.65
14,75.1,Month-to-month,1013.35
10,80.05,Month-to-month,830.7
27,80.65,One year,2209.75
3,105.35,Month-to-month,323.25
10,25.7,Two year,251.6
5,45.4,Month-to-month,214.75
48,26.3,Two year,1245.05
7,64.95,Month-to-month,493.65
44,49.05,One year,2265.0
2,76.4,Month-to-month,160.8
4,76.65,Month-to-month,333.6
37,98.8,Month-to-month,3475.55
13,19.3,Month-to-month,279.3
39,58.6,One year,2224.5
42,56.1,One year,2386.85
46,105.2,One year,4822.85
16,55.85,One year,857.8
54,46.0,Two year,2424.05
33,66.4,Month-to-month,2245.4
22,50.6,Month-to-month,1073.3
35,89.2,One year,3251.3
4,20.95,Month-to-month,85.5
1,20.45,Two year,20.45
36,20.85,One year,720.05
25,54.3,Month-to-month,1296.8
3,71.1,Two year,213.35
22,100.75,Month-to-month,2095.0
16,100.7,Month-to-month,1522.7
50,106.8,One year,5347.95
10,21.2,Month-to-month,222.65
25,74.3,One year,1863.8
32,96.15,Month-to-month,3019.25
63,19.35,Two year,1263.85
5,48.65,Month-to-month,235.2
44,30.35,Month-to-month,1359.7
16,96.15,Month-to-month,1529.2
20,64.15,One year,1274.45
30,106.4,Month-to-month,3211.9
55,45.05,One year,2462.6
61,65.2,One year,3965.05
1,19.95,Month-to-month,19.95
54,94.1,One year,5060.9
10,70.0,Month-to-month,740.0
40,55.25,Month-to-month,2139.2
51,79.15,Month-to-month,4018.55
72,105.5,Two year,7611.55
64,99.25,Two year,6549.45
72,25.85,Two year,1872.2
53,19.55,One year,1007.9
3,24.75,Month-to-month,66.95
1,70.05,Month-to-month,70.05
13,84.05,Month-to-month,1095.3
39,50.75,Month-to-month,2011.4
9,77.65,Month-to-month,714.15
22,25.25,Two year,566.5
54,99.05,Month-to-month,5295.7
29,35.6,One year,1072.6
72,117.8,One year,8684.8
72,79.55,Two year,5810.9
47,109.55,Month-to-month,5124.55
28,49.9,Month-to-month,1410.25
3,30.4,Month-to-month,82.15
50,75.15,Two year,3822.45
1,69.8,Month-to-month,69.8
2,94.95,Month-to-month,178.1
2,70.7,Month-to-month,129.2
70,109.5,One year,7674.55
51,87.35,Month-to-month,4473.0
65,104.35,Month-to-month,6578.55
1,90.55,Month-to-month,90.55
13,30.15,Month-to-month,382.2
10,98.5,Month-to-month,1058.25
55,20.3,Two year,1079.05
7,70.75,Month-to-month,450.8
3,19.45,One year,69.25
46,33.7,One year,1537.85
56,75.75,One year,4284.65
61,115.1,Two year,7008.15
52,93.25,Month-to-month,4631.7
41,70.25,Month-to-month,2868.05
68,25.5,Two year,1821.8
41,78.35,One year,3211.2
50,69.65,One year,3442.15
71,115.15,Two year,8078.1
22,83.05,Month-to-month,1799.3
59,19.5,Two year,1147.85
6,69.8,Month-to-month,377.85
33,24.5,Two year,740.3
17,24.1,Month-to-month,409.9
49,59.6,Month-to-month,2970.3
72,82.15,Two year,5784.3
17,100.45,Month-to-month,1622.45
15,64.85,One year,950.75
8,19.65,Month-to-month,169.75
22,65.05,Month-to-month,1427.55
51,24.95,Two year,1222.25
43,91.65,Month-to-month,3954.1
3,25.1,Month-to-month,79.8
48,104.5,Month-to-month,5068.05
34,60.8,One year,2042.05
41,111.95,One year,4534.9
67,112.35,One year,7388.45
19,75.9,Month-to-month,1375.6
63,99.65,One year,6311.2
18,85.2,Month-to-month,1553.9
1,20.65,Month-to-month,20.65
11,94.0,Month-to-month,1078.9
30,90.4,One year,2820.65
23,74.95,Month-to-month,1710.45
52,105.05,Month-to-month,5624.85
13,19.85,Month-to-month,252.0
54,63.35,Two year,3409.1
1,47.95,Month-to-month,47.95
68,83.65,One year,5733.4
3,64.4,Month-to-month,195.65
1,68.5,Month-to-month,68.5
34,62.65,Month-to-month,2274.9
49,66.15,Two year,3199.0
23,19.65,Two year,451.55
71,19.8,Two year,1396.25
46,84.8,Month-to-month,3958.85
50,108.25,One year,5431.4
1,45.3,Month-to-month,45.3
24,79.85,Month-to-month,2001.0
68,114.7,Two year,7849.85
31,20.9,Two year,689.35
64,49.85,Two year,3210.35
14,87.25,Month-to-month,1258.6
59,51.7,Month-to-month,3005.8
72,90.8,Two year,6511.8
4,98.1,Month-to-month,396.3
32,84.05,One year,2781.85
48,91.05,Month-to-month,4370.75
72,109.65,Two year,7880.25
3,89.85,Month-to-month,248.4
72,95.9,Two year,6954.15
18,84.3,Month-to-month,1537.9
72,63.1,Two year,4685.55
32,85.95,Month-to-month,2628.6
13,82.0,Month-to-month,1127.2
7,29.8,Month-to-month,201.95
6,55.9,Month-to-month,365.35
4,55.2,Month-to-month,220.65
13,20.45,Month-to-month,254.5
64,104.05,Two year,6605.55
17,70.5,Month-to-month,1165.6
40,50.85,Month-to-month,2036.55
11,50.55,Month-to-month,565.35
5,19.95,Month-to-month,107.05
23,85.6,Month-to-month,1868.4
68,76.75,One year,5233.25
1,79.15,Month-to-month,79.15
72,87.55,Two year,6463.15
57,41.1,One year,2258.25
60,116.05,Two year,6925.9
6,44.7,Month-to-month,276.5
55,90.4,Month-to-month,5099.15
72,110.1,Two year,7746.7
70,67.95,Two year,4664.15
17,89.4,Month-to-month,1539.45
9,59.9,Month-to-month,542.4
51,60.5,Two year,3121.45
67,69.9,Two year,4615.9
1,75.8,Month-to-month,75.8
3,25.25,Month-to-month,58.9
6,50.95,Month-to-month,307.6
10,65.5,Month-to-month,616.9
21,86.05,Month-to-month,1818.9
13,94.1,Month-to-month,1215.6
51,75.2,Two year,3901.25
25,20.75,Two year,499.4
71,19.9,Two year,1389.35
3,74.75,Month-to-month,238.1
1,79.5,Month-to-month,79.5
65,99.1,Month-to-month,6496.15
65,72.45,One year,4653.85
64,24.4,One year,1601.2
38,70.6,One year,2708.2
56,109.8,One year,6109.65
72,19.75,Two year,1567.0
9,69.4,Month-to-month,571.45
38,20.3,Two year,743.05
44,54.9,Month-to-month,2549.1
71,80.4,Two year,5727.15
57,99.65,Month-to-month,5497.05
43,49.05,Month-to-month,2076.2
17,20.05,One year,337.9
7,86.8,Month-to-month,620.35
2,79.75,Month-to-month,164.5
50,24.9,Two year,1195.25
72,82.65,Two year,5919.35
13,88.95,Two year,1161.75
19,69.6,Month-to-month,1394.55
30,21.25,Two year,711.9
58,106.45,One year,6145.85
7,20.65,One year,150.0
55,20.5,Two year,1177.95
15,19.5,One year,239.75
68,88.85,Two year,6132.7
54,100.1,Month-to-month,5440.9
25,48.25,Month-to-month,1293.8
1,84.3,Month-to-month,84.3
72,20.7,Two year,1492.1
63,71.9,Two year,4479.2
42,20.25,One year,854.9
37,36.65,Month-to-month,1315.0
4,20.35,Month-to-month,77.5
13,19.45,One year,270.2
3,20.85,Month-to-month,72.0
1,50.8,Month-to-month,50.8
68,89.95,Two year,5974.3
10,59.65,Month-to-month,638.95
62,81.45,One year,4983.05
49,19.9,Two year,1022.6
46,19.95,Two year,862.4
52,63.9,Two year,3334.95
26,81.95,Month-to-month,2070.05
8,19.95,Month-to-month,170.9
2,75.55,Month-to-month,166.3
69,19.7,Two year,1396.9
4,29.15,Month-to-month,110.05
11,75.9,Month-to-month,866.4
9,49.2,Month-to-month,447.9
29,68.85,Month-to-month,1970.5
60,93.25,Month-to-month,5774.55
27,30.75,Month-to-month,805.1
57,19.6,Two year,1170.55
1,73.6,Month-to-month,73.6
1,91.7,Month-to-month,91.7
37,19.85,Two year,784.25
72,64.8,Two year,4732.35
31,91.15,Month-to-month,2995.45
52,59.45,Month-to-month,3043.7
48,58.95,One year,2789.7
22,89.25,Month-to-month,1907.85
13,75.0,Month-to-month,999.45
6,80.25,Two year,493.4
7,53.65,Month-to-month,404.35
71,109.0,Two year,7661.8
3,69.65,Month-to-month,220.1
48,64.4,One year,3035.35
9,54.8,Month-to-month,452.8
7,73.75,Month-to-month,545.15
18,35.0,Month-to-month,553.0
11,60.25,Month-to-month,662.95
9,85.3,Month-to-month,781.4
10,79.25,Month-to-month,793.55
1,20.2,Month-to-month,20.2
26,84.95,Month-to-month,2169.75
7,43.9,Month-to-month,278.4
46,104.4,Two year,4904.2
27,25.85,Two year,788.55
1,69.65,Month-to-month,69.65
40,55.8,Month-to-month,2109.35
49,75.2,Month-to-month,3678.3
68,108.45,One year,7176.55
18,57.65,Month-to-month,992.7
28,106.15,Month-to-month,3152.5
72,100.65,Two year,7334.05
62,84.95,Two year,5150.55
34,24.95,Two year,894.3
46,55.65,One year,2688.85
31,81.7,One year,2548.65
27,100.5,One year,2673.45
30,54.45,Month-to-month,1588.7
11,86.2,Month-to-month,893.2
46,110.0,One year,4874.8
44,50.15,Month-to-month,2139.1
42,67.7,One year,2882.25
18,49.55,Month-to-month,878.35
50,19.4,Two year,1023.95
7,50.7,Month-to-month,350.35
66,89.9,Two year,5958.85
26,45.8,Month-to-month,1147.0
1,69.1,Month-to-month,69.1
67,93.15,Two year,6368.2
26,100.5,Month-to-month,2599.95
52,94.6,Month-to-month,5025.8
12,76.6,Month-to-month,893.0
10,72.85,Month-to-month,688.65
1,43.95,Month-to-month,43.95
47,67.45,Month-to-month,3252.0
57,90.45,Two year,5229.8
1,70.85,Month-to-month,70.85
72,113.8,Two year,7845.8
45,34.2,One year,1596.6
38,20.25,One year,814.75
1,90.1,Month-to-month,90.1
17,80.85,One year,1445.95
59,76.45,Two year,4519.5
15,101.35,Month-to-month,1553.95
32,72.8,One year,2333.05
43,19.55,Two year,876.15
71,24.65,Two year,1766.75
54,114.65,One year,6049.5
5,81.0,Month-to-month,389.6
14,19.55,One year,294.5
62,100.15,Month-to-month,6283.3
72,90.15,Two year,6716.45
42,108.3,One year,4586.15
2,70.15,Month-to-month,123.8
72,25.7,Two year,1937.4
30,25.1,Two year,789.55
40,97.1,Month-to-month,3706.95
25,35.05,Two year,844.45
65,67.05,One year,4309.55
14,20.4,Two year,292.4
35,20.1,One year,644.5
30,70.25,One year,2198.9
30,86.45,One year,2538.05
64,100.3,One year,6603.8
71,90.3,Two year,6287.3
3,36.85,Month-to-month,108.7
8,74.85,Month-to-month,572.45
13,99.0,Month-to-month,1301.7
48,25.05,One year,1171.5
26,85.2,One year,2184.6
36,76.35,One year,2606.35
50,70.35,Two year,3533.6
49,55.35,One year,2633.95
43,100.55,One year,4304.0
8,19.35,Month-to-month,152.6
2,61.2,Month-to-month,125.95
53,85.7,Month-to-month,4616.1
64,96.9,One year,6314.35
17,55.5,Month-to-month,934.15
53,19.5,Two year,1050.5
1,50.7,Month-to-month,50.7
48,99.7,One year,4977.2
8,38.5,Month-to-month,330.8
10,91.1,Month-to-month,964.35
40,80.8,One year,3132.75
32,73.6,Two year,2316.85
41,94.55,Month-to-month,3851.45
25,100.25,Month-to-month,2387.75
22,89.1,Month-to-month,1949.4
72,25.45,Two year,1866.45
24,24.6,One year,592.65
24,60.45,Month-to-month,1440.75
64,74.65,Month-to-month,4869.35
3,107.95,Month-to-month,313.6
1,49.8,Month-to-month,49.8
63,109.4,Month-to-month,7031.45
13,53.45,Month-to-month,718.1
20,55.0,Month-to-month,1165.55
54,86.2,Month-to-month,4524.05
38,19.6,One year,763.1
1,69.75,Month-to-month,69.75
67,43.9,Two year,3097.2
55,96.8,Month-to-month,5283.95
53,64.15,One year,3491.55
29,26.1,Two year,692.55
14,55.7,One year,795.15
48,60.35,One year,2896.4
48,69.55,One year,3435.6
1,59.55,Month-to-month,59.55
44,24.85,One year,1013.6
45,95.95,Month-to-month,4456.65
56,73.85,Month-to-month,4092.85
14,31.1,Month-to-month,419.7
2,71.3,Month-to-month,157.75
36,54.1,One year,1992.85
5,39.5,Month-to-month,210.75
69,61.4,Two year,4059.85
62,108.15,Two year,6825.65
1,19.9,Month-to-month,19.9
34,65.0,Month-to-month,2157.5
16,80.75,Month-to-month,1321.3
14,18.8,Two year,255.55
49,97.95,One year,4917.9
2,80.25,Month-to-month,144.55
26,19.15,Two year,515.75
22,95.9,Month-to-month,2234.95
33,73.9,One year,2405.05
4,19.5,Two year,96.85
19,19.65,Two year,358.15
57,89.55,Two year,5012.35
51,86.35,One year,4267.15
1,44.15,Month-to-month,44.15
3,90.4,Month-to-month,268.45
1,20.2,One year,20.2
15,45.9,One year,693.45
52,79.75,Two year,4217.8
56,100.3,One year,5614.45
3,76.95,Month-to-month,228.4
26,35.4,One year,978.6
68,110.8,Two year,7553.6
4,50.55,Month-to-month,235.65
72,25.55,Two year,1867.7
40,105.95,One year,4335.2
66,99.5,Month-to-month,6822.15
1,19.85,One year,19.85
19,105.0,Month-to-month,2007.25
42,19.55,One year,839.4
34,97.7,Month-to-month,3410.0
1,81.1,Month-to-month,81.1
72,88.7,Two year,6501.35
51,19.85,One year,996.95
55,85.45,Month-to-month,4874.7
66,102.45,One year,6615.15
30,90.05,Month-to-month,2627.2
34,90.15,One year,3128.8
55,77.75,Month-to-month,4458.15
54,95.1,Two year,5064.85
57,39.3,Month-to-month,2111.45
11,74.35,Month-to-month,834.2
2,19.65,Month-to-month,31.2
4,69.35,Month-to-month,261.65
72,90.95,Two year,6652.45
48,20.05,Two year,1036.0
26,20.65,One year,595.5
15,19.8,Month-to-month,272.95
15,83.2,Month-to-month,1130.0
64,102.45,One year,6654.1
71,111.25,Two year,7984.15
63,68.8,One year,4111.35
1,19.9,Month-to-month,19.9
64,104.4,One year,6721.6
45,75.95,Month-to-month,3273.8
4,19.6,Month-to-month,93.45
31,89.9,Month-to-month,2806.9
68,110.0,Two year,7611.85
25,81.75,Month-to-month,2028.8
72,24.75,Two year,1769.6
36,55.8,One year,1941.5
1,44.0,Month-to-month,44.0
0,25.35,Two year,0.0
25,19.8,Two year,475.2
8,19.2,One year,161.95
37,75.1,One year,2658.8
4,94.75,Month-to-month,422.4
28,82.85,One year,2320.8
37,45.4,Two year,1593.1
8,20.45,Month-to-month,162.3
1,48.75,Month-to-month,48.75
25,20.05,Month-to-month,471.7
26,98.35,Month-to-month,2515.3
9,80.85,Month-to-month,751.65
21,102.8,Month-to-month,2110.15
19,79.85,Month-to-month,1471.75
18,33.6,Month-to-month,550.35
32,108.15,Month-to-month,3432.9
23,34.65,Month-to-month,768.45
55,75.0,One year,4213.9
43,26.45,Two year,1110.05
2,44.7,Month-to-month,93.7
5,82.75,Month-to-month,417.75
14,61.4,Two year,815.55
4,61.3,Month-to-month,249.4
4,44.55,Month-to-month,220.75
12,20.1,Month-to-month,223.6
68,86.45,One year,5762.95
10,85.6,Month-to-month,813.85
53,94.85,One year,5000.2
66,89.0,One year,5898.6
27,19.4,Month-to-month,460.25
34,79.6,Month-to-month,2718.3
11,84.8,Month-to-month,906.85
64,25.55,Two year,1714.95
13,81.9,Month-to-month,1028.9
3,20.2,Month-to-month,50.6
24,89.55,Month-to-month,2187.15
69,61.45,Two year,4131.2
20,95.5,Month-to-month,1916.2
48,44.8,Month-to-month,2104.55
13,54.45,Month-to-month,706.85
5,85.55,Month-to-month,408.5
5,69.95,Month-to-month,320.4
1,74.3,Month-to-month,74.3
30,94.4,Month-to-month,2838.7
13,100.75,Month-to-month,1313.25
61,93.7,One year,5860.7
4,20.45,Month-to-month,82.85
10,55.2,Month-to-month,528.35
40,63.9,One year,2635.0
43,66.25,Month-to-month,2907.35
1,29.85,Month-to-month,29.85
9,69.5,Month-to-month,653.25
1,69.85,Month-to-month,69.85
19,20.25,One year,383.65
9,75.2,Month-to-month,633.85
9,81.15,Month-to-month,784.45
18,20.05,One year,345.9
67,105.7,One year,6816.95
13,43.8,One year,592.65
5,70.05,Month-to-month,346.4
33,109.9,Month-to-month,3694.7
62,65.1,Two year,3846.75
72,100.55,Two year,7325.1
8,84.5,Month-to-month,662.65
1,46.0,Month-to-month,46.0
44,95.1,Month-to-month,4060.55
17,96.65,One year,1588.25
30,100.05,Month-to-month,3046.15
69,26.0,Two year,1796.55
23,49.7,Month-to-month,1081.25
2,86.2,Month-to-month,178.7
3,45.0,Month-to-month,127.1
30,74.65,One year,2308.6
1,43.85,Month-to-month,43.85
8,100.15,Month-to-month,908.55
59,82.95,One year,4903.15
7,51.3,Month-to-month,419.35
37,95.15,Month-to-month,3532.85
49,109.2,One year,5290.45
26,81.9,Month-to-month,2078.55
1,79.55,Month-to-month,79.55
62,113.95,Two year,6891.4
17,19.55,One year,280.85
36,95.0,Month-to-month,3440.25
32,20.5,Two year,696.8
2,19.95,One year,47.7
30,19.3,Two year,602.9
21,106.1,Month-to-month,2249.95
66,106.05,Two year,6981.35
32,80.35,Month-to-month,2596.15
3,80.4,Month-to-month,224.05
69,20.2,Two year,1412.65
10,110.1,Month-to-month,1043.3
1,69.25,Month-to-month,69.25
69,90.65,Two year,6322.1
4,94.3,Month-to-month,424.45
66,63.3,Two year,4189.7
35,24.15,Month-to-month,812.5
22,104.6,Month-to-month,2180.55
55,19.4,Two year,1083.0
9,80.8,Month-to-month,713.1
55,89.8,Month-to-month,4959.6
36,106.05,Two year,3834.4
27,81.45,Month-to-month,2122.05
67,106.7,Two year,7009.5
54,101.5,One year,5373.1
62,39.0,Two year,2337.45
56,52.0,One year,2884.9
34,109.8,Month-to-month,3587.25
33,86.15,Month-to-month,2745.7
5,93.9,Month-to-month,486.85
16,19.6,Month-to-month,314.45
34,88.85,Month-to-month,3000.25
58,105.5,One year,6205.5
66,70.85,One year,4738.85
37,20.15,One year,785.75
6,45.5,Month-to-month,285.2
65,74.2,Two year,4805.65
51,20.45,Two year,1042.65
2,45.35,Month-to-month,89.5
18,68.35,Month-to-month,1299.8
51,60.5,One year,3145.15
9,20.25,Month-to-month,186.15
15,99.7,Month-to-month,1566.75
72,105.55,Two year,7542.25
12,19.35,Two year,212.3
60,39.6,Two year,2424.5
32,19.4,Month-to-month,641.15
6,80.5,Month-to-month,463.05
39,100.0,One year,3835.55
2,74.75,Month-to-month,144.8
71,79.05,One year,5552.5
1,60.15,Month-to-month,60.15
2,80.2,Month-to-month,181.1
72,109.7,Two year,8129.3
41,68.6,One year,2877.05
7,74.85,Month-to-month,485.25
35,94.55,Month-to-month,3365.4
31,80.45,Month-to-month,2429.1
45,24.45,Two year,1088.25
15,93.35,Month-to-month,1444.65
27,20.05,One year,552.9
31,90.7,One year,2835.5
41,66.5,One year,2728.6
19,18.8,One year,279.2
25,58.6,Month-to-month,1502.65
15,105.35,Month-to-month,1559.25
2,71.65,Month-to-month,135.75
12,50.25,Month-to-month,593.75
23,79.35,Month-to-month,1835.3
22,19.9,Month-to-month,400.3
71,100.55,One year,7113.75
30,101.3,Month-to-month,2974.5
1,44.9,Month-to-month,44.9
20,19.25,Month-to-month,375.25
1,55.55,Month-to-month,55.55
68,85.3,Two year,5560.0
14,19.9,Month-to-month,283.75
2,19.85,One year,35.9
38,69.95,Month-to-month,2657.55
18,19.65,One year,411.25
31,104.35,Month-to-month,3205.6
71,64.05,Two year,4492.9
67,109.9,One year,7332.4
72,92.3,Two year,6719.9
32,106.35,Month-to-month,3520.75
4,80.8,Month-to-month,332.45
23,60.0,One year,1347.15
66,67.45,Month-to-month,4508.65
57,104.9,Month-to-month,5913.95
36,89.65,One year,3348.1
13,25.15,Month-to-month,331.85
9,83.3,Month-to-month,803.3
5,80.85,Month-to-month,356.1
67,86.15,Two year,5883.85
1,69.9,Month-to-month,69.9
4,74.8,Month-to-month,321.9
1,70.3,Month-to-month,70.3
31,19.55,Month-to-month,658.95
3,43.3,Month-to-month,123.65
4,78.9,Month-to-month,299.75
33,95.0,Month-to-month,3008.15
58,25.15,Two year,1509.9
25,25.4,Month-to-month,546.85
4,76.05,Month-to-month,318.9
51,93.65,One year,4839.15
19,25.15,Month-to-month,468.35
11,44.05,Month-to-month,483.7
24,56.35,Month-to-month,1381.2
18,74.15,Month-to-month,1387.0
